Site,Latitude,Longitude
NRS01,72.49,-156.601833
AU_CH01,75.1,-168
ARCTIC-A,72.18,-156.55
ARCTIC-B,72.46,-157.4
ARCTIC-C,72.8,-158.4
MARS,36.7128,-122.186
NRS11,37.881,-123.4353
AEON5,42.87,-70.02
Monh,43.72415,-69.29615
PManan,44.31818,-67.859
SB01,42.43843,-70.54583
SB03,42.25564,-70.1789
37M,32.195,-80.792
BOEM-VA,36.8981,-75.6911
ARKF05,79.0002,5.6687
JOMOPANS,53.5283,1.053433
