"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"7219",2019-09-26 10:00:00,76.285859,77.532971,78.936465,81.075698,81.691792,82.781738,81.858205,79.935935,81.145919,82.109118,80.298046,81.81377,85.559348,87.056147,83.586183,82.090701,81.394145,83.450898,85.720347,88.57011,89.787491,92.521782,93.687171,93.673938,92.639813,91.71658,90.327597,88.572362,86.321296,81.771002,"mb02",2019,9,36.648,-121.908,2.60464596748352,3.99702143669128,0,238,36.75,2019-09-26 07:30:00,4.77078200940871,2019-09-26
"7220",2019-09-26 11:00:00,76.287227,77.566159,79.033776,81.034481,81.629727,82.786058,81.905562,80.42642,81.723416,82.691218,80.827114,82.548366,86.610595,88.093873,84.584524,83.015913,82.008157,83.730756,86.079269,89.021076,89.927764,92.504027,93.619952,93.996349,92.813807,91.586639,90.496638,88.669996,86.475149,82.42976,"mb02",2019,9,36.648,-121.908,1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7221",2019-09-26 12:00:00,76.905253,81.186002,80.435846,83.331314,84.913106,85.033395,84.608767,83.596206,84.359289,84.79339,83.187455,84.968007,88.749441,90.205917,87.309456,86.144072,84.834506,84.851055,85.950423,88.898749,89.931566,92.376006,93.403656,93.774873,92.794117,91.46011,90.346644,88.488158,86.329429,81.717899,"mb02",2019,9,36.648,-121.908,1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7222",2019-09-26 13:00:00,77.455395,80.665043,81.042779,82.987599,84.659056,85.907139,85.528186,86.636499,87.78521,86.910427,87.295435,88.007883,90.66135,91.970692,89.228006,88.047235,85.721202,86.625042,87.570523,90.107936,91.091257,93.375182,94.700538,94.629693,93.67544,92.401659,91.00764,89.189825,86.972103,82.319779,"mb02",2019,9,36.648,-121.908,1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7223",2019-09-26 14:00:00,82.616599,88.99974,92.162171,92.691662,97.349464,98.44121,96.628872,97.025371,99.749849,103.318572,101.8997,99.779359,102.051303,99.375875,97.89003,96.075465,93.174539,91.360488,91.291488,91.645659,91.789488,93.97561,95.553042,95.291289,94.133778,92.870356,91.331555,89.545209,87.174556,82.571413,"mb02",2019,9,36.648,-121.908,0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7224",2019-09-26 15:00:00,84.391255,89.769376,94.321303,92.704007,95.58709,101.245425,97.625405,98.443256,103.071852,110.015311,104.127597,102.93655,106.899754,104.902745,106.128919,103.517451,103.691506,99.997251,98.113139,96.321348,95.515508,97.540981,98.955645,97.587549,96.551767,95.395294,93.210243,91.00955,88.237455,83.247069,"mb02",2019,9,36.648,-121.908,0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7225",2019-09-26 16:00:00,87.798168,88.906944,98.603807,97.466127,103.144209,107.638,105.477012,108.794639,110.092147,112.881486,112.626081,113.316674,111.990962,109.532474,106.458999,106.171698,106.3879,103.205454,103.254827,102.138282,99.137867,100.538578,100.826994,99.890099,98.279008,96.492858,94.401548,91.824642,88.842473,83.609546,"mb02",2019,9,36.648,-121.908,0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7226",2019-09-26 17:00:00,82.316519,88.212608,94.173766,92.444925,96.519728,98.768093,98.965807,99.026951,102.266149,109.372315,105.785984,102.555276,104.018952,104.030975,102.527755,100.600682,99.583463,97.054033,96.408998,95.683937,95.797824,97.49341,97.588857,96.806503,96.039982,94.689315,92.504105,90.19113,87.32094,82.320836,"mb02",2019,9,36.648,-121.908,1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
"7227",2019-09-26 18:00:00,85.634888,89.924153,95.02042,94.057609,99.326272,101.744586,102.532475,103.851464,106.329791,111.565577,109.63796,108.783838,108.383679,108.760708,107.154451,105.335069,105.530769,103.478751,102.050531,99.909837,99.05807,100.187339,99.836914,99.319904,98.574904,97.961438,95.751938,94.349827,92.383526,86.044225,"mb02",2019,9,36.648,-121.908,1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
"7228",2019-09-26 19:00:00,88.193797,91.511391,96.518073,95.882059,101.591718,104.586525,106.19659,107.009753,109.920829,112.702017,112.279215,113.396977,110.270364,108.878472,105.431076,104.034486,106.574112,105.109355,104.119831,103.682215,101.147726,101.326111,100.67448,100.660905,99.728794,98.24705,96.964609,94.667077,92.567155,87.309469,"mb02",2019,9,36.648,-121.908,1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
"7229",2019-09-26 20:00:00,82.643894,88.683616,94.454126,93.871328,97.501918,101.876166,99.189462,100.459551,101.818758,108.057597,108.610241,101.400937,102.613658,99.688366,100.702538,100.826864,99.902794,98.23807,98.99977,96.704281,96.033566,97.040755,97.267979,96.789313,95.493352,94.560191,92.537229,90.242119,87.604742,82.555635,"mb02",2019,9,36.648,-121.908,4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7230",2019-09-26 21:00:00,82.459155,88.706019,93.034648,92.285296,95.258573,98.95567,97.263137,97.570016,99.547034,106.887756,107.802855,100.38516,100.942896,101.624198,101.032011,101.241932,97.863598,97.174579,97.059531,94.709879,94.502325,95.393103,96.457508,95.840864,94.633247,93.461688,91.753994,89.44386,86.776888,81.616263,"mb02",2019,9,36.648,-121.908,4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7231",2019-09-26 22:00:00,84.500858,89.597007,93.361294,91.60177,97.38251,96.951555,98.479439,99.062875,101.031422,110.79162,107.029091,102.3657,102.004776,101.244543,104.572652,101.389657,100.001794,98.480429,96.45768,96.526273,94.80657,96.196901,96.660817,95.792848,94.606776,93.499668,91.685396,89.201786,86.664725,81.5097,"mb02",2019,9,36.648,-121.908,4.52321767807007,6.76049327850342,0,238,36.75,2019-09-26 19:30:00,8.13411135477598,2019-09-26
"7232",2019-09-26 23:00:00,83.98839,89.388487,92.714988,90.894728,95.613487,96.794146,97.661696,97.571205,102.380543,109.289199,107.546442,105.250567,107.439961,106.856046,106.904343,105.953757,100.189998,98.39675,98.261493,97.936972,95.355751,96.215806,97.063014,96.223823,95.023363,93.81176,91.921793,89.290654,86.641186,81.418791,"mb02",2019,9,36.648,-121.908,8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-26
"7233",2019-09-27,90.470357,93.769147,96.03022,99.785003,102.324767,101.8411,100.120196,101.55792,102.340133,100.841067,99.853059,99.091133,96.971671,95.978765,94.102,93.531984,92.752144,92.590641,93.31128,93.293994,93.09169,94.685523,95.892275,95.449149,94.128638,93.032268,91.496464,89.34192,87.09806,82.086837,"mb02",2019,9,36.648,-121.908,8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-27
"7234",2019-09-27 01:00:00,80.592783,82.934652,84.642524,90.731201,91.0996,88.451871,87.323947,86.76624,87.235111,89.323017,88.386323,88.880753,92.164174,93.554775,89.931449,87.924546,85.18322,84.988119,85.544465,88.616975,90.795793,93.511099,94.158558,94.634951,93.398239,92.281717,90.882535,88.865587,86.690476,81.819874,"mb02",2019,9,36.648,-121.908,8.24594211578369,6.07750511169434,0,238,36.75,2019-09-27,10.2436140965738,2019-09-27
"7235",2019-09-27 02:00:00,78.033298,79.802087,81.062492,84.197352,84.009732,83.579568,83.567467,83.260499,89.289999,92.743438,89.530153,89.823547,91.746156,93.078927,89.795998,87.94671,85.599739,86.261576,87.570617,89.391378,90.594902,94.207815,95.235027,94.951747,94.186514,93.070479,91.833785,89.944519,87.782746,83.244218,"mb02",2019,9,36.648,-121.908,4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7236",2019-09-27 03:00:00,86.386342,84.544645,85.784227,83.892221,83.517617,84.435091,85.496083,83.400435,83.568562,87.316593,85.14353,85.601519,88.741195,89.935337,87.485749,87.244847,85.745091,87.015085,88.291529,90.672941,92.133427,94.754822,95.948101,95.944671,94.873275,93.969449,92.571511,90.851851,88.731127,83.988536,"mb02",2019,9,36.648,-121.908,4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7237",2019-09-27 04:00:00,83.537611,83.321357,84.904471,84.911458,84.606794,85.136647,85.777484,82.368769,82.533184,86.117309,83.384316,84.603895,86.641266,87.658887,84.904646,84.067295,82.871226,84.740217,86.598905,89.6348,91.08983,93.10983,95.150458,94.872586,94.165418,93.34819,91.975207,90.249209,88.104135,83.39462,"mb02",2019,9,36.648,-121.908,4.60653829574585,8.44785404205322,0,238,36.75,2019-09-27 01:30:00,9.62218441862387,2019-09-27
"7238",2019-09-27 05:00:00,85.575116,83.640192,82.99901,81.845104,81.969106,82.852551,83.773511,80.445723,80.580136,84.978421,81.74377,82.979089,85.396051,86.857833,84.091945,83.409422,82.650142,84.183939,84.189872,88.786855,89.998995,92.042552,93.913428,94.195407,93.25009,92.498716,91.104777,89.387296,87.305287,82.637045,"mb02",2019,9,36.648,-121.908,4.29045915603638,5.41438007354736,0,238,36.75,2019-09-27 06:00:00,6.90822345834608,2019-09-27
"7239",2019-09-27 06:00:00,84.389356,83.031828,82.404677,82.247319,82.600652,83.612885,84.31766,80.771978,80.764543,84.473547,81.311395,81.921591,84.34863,85.943622,83.086843,82.394624,82.184652,83.902332,85.564436,88.900383,90.231911,92.516247,94.129592,94.246295,93.285125,92.674833,91.272022,89.623402,87.467635,83.968588,"mb02",2019,9,36.648,-121.908,4.29045915603638,5.41438007354736,0,238,36.75,2019-09-27 06:00:00,6.90822345834608,2019-09-27
"7240",2019-09-27 07:00:00,80.168076,80.059557,80.800287,81.696842,82.279207,83.352287,83.548136,80.521742,80.823794,83.798011,80.970162,81.348505,83.606858,84.822494,82.050279,81.477365,81.53871,83.531775,85.555558,89.028902,89.743298,92.690851,94.240823,94.063158,93.045912,92.526247,91.092592,89.387017,87.212702,84.108127,"mb02",2019,9,36.648,-121.908,4.29045915603638,5.41438007354736,0,238,36.75,2019-09-27 06:00:00,6.90822345834608,2019-09-27
"7241",2019-09-27 08:00:00,80.308526,79.68924,80.096477,81.190144,81.369223,82.566392,82.457254,80.035886,80.687654,83.241128,80.489131,81.072469,83.647614,84.916223,82.080731,81.190415,80.788947,83.377598,85.662224,88.782044,89.2179,91.77751,93.370146,93.538928,92.435487,91.793861,90.500724,88.709813,86.486073,83.644435,"mb02",2019,9,36.648,-121.908,2.94265627861023,3.70306873321533,0,238,36.75,2019-09-27 07:30:00,4.72989894363095,2019-09-27
