"","UTC","TOL_25","TOL_31.5","TOL_40","TOL_50","TOL_63","TOL_80","TOL_100","TOL_125","TOL_160","TOL_200","TOL_250","TOL_315","TOL_400","TOL_500","TOL_630","TOL_800","TOL_1000","TOL_1250","TOL_1600","TOL_2000","TOL_2500","TOL_3150","TOL_4000","TOL_5000","TOL_6300","TOL_8000","TOL_10000","TOL_12500","TOL_16000","TOL_20000","site","yr","mth","Latitude","Longitude","Season","seasonYr","windU","windV","precRate","matchLong","matchLat","matchTime","windMag","Day"
"7089",2019-09-26 10:00:00,78.504108,76.1169,77.138784,78.413159,78.270219,78.054798,77.152716,76.501713,79.170185,79.804738,77.878599,78.172777,78.862219,78.441285,77.010943,75.707504,74.228419,73.608291,73.763621,73.832537,73.084501,73.286639,72.818325,72.510986,72.03186,72.046337,72.09584,72.187219,72.015882,70.839559,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",2.60464596748352,3.99702143669128,0,238,36.75,2019-09-26 07:30:00,4.77078200940871,2019-09-26
"7090",2019-09-26 11:00:00,78.495495,77.617343,78.442185,79.686101,79.790136,79.772209,79.006101,78.584574,80.634822,81.236074,79.919534,80.254843,81.21828,80.970392,79.838215,78.847431,78.117625,77.871854,78.030289,78.008153,77.242502,77.367164,77.059978,76.664186,76.020186,75.582914,75.034725,74.753754,73.992539,72.092613,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7091",2019-09-26 12:00:00,81.484541,83.131757,83.438623,84.365861,84.421002,83.19592,81.913013,82.001789,82.744781,82.875033,81.204538,81.193857,81.95221,81.266123,79.730213,78.615437,77.70582,76.973191,76.56882,76.271867,75.268018,75.259391,74.964162,74.445979,73.635699,73.313256,73.11129,73.047108,72.671333,71.229336,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7092",2019-09-26 13:00:00,83.464493,86.515508,88.17681,92.012601,93.220402,92.718911,86.933791,84.340762,83.239932,82.763038,81.040847,80.653864,80.954313,80.522603,79.429278,78.664584,77.895907,77.233354,77.047799,76.808566,75.92378,75.794645,75.469475,74.98947,74.340336,74.237183,74.1319,74.041024,73.455485,71.713788,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.91758298873901,3.88920664787292,0,238,36.75,2019-09-26 12:00:00,4.33624870926014,2019-09-26
"7093",2019-09-26 14:00:00,81.603654,81.006923,85.259404,91.393185,93.019314,90.94731,91.374355,89.731323,87.748611,87.67656,85.276522,83.962629,84.218169,83.092797,82.528584,81.763466,81.175472,80.551716,80.295447,79.869166,78.738032,78.570519,78.15911,77.674343,76.926434,76.755581,76.318502,75.896125,74.958052,72.716802,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7094",2019-09-26 15:00:00,83.533478,82.995253,86.808299,89.687221,91.620578,91.150329,92.840841,91.548478,91.658439,90.916225,90.575163,88.61425,88.017466,86.943721,86.525233,84.853772,84.499457,82.826826,82.30912,81.765299,80.59975,80.13505,79.382977,78.7332,77.989852,77.733201,77.259416,76.791879,75.724022,73.264771,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7095",2019-09-26 16:00:00,87.543908,87.966952,89.913923,90.324362,89.492121,89.801059,88.265515,89.820654,91.292091,89.31421,92.473875,89.035671,88.28473,88.892076,85.588102,84.090239,83.876358,80.536649,80.691237,78.843696,77.218046,76.818051,76.604883,75.069029,73.871533,73.437365,73.295951,73.239363,72.689442,71.194069,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",0.744438469409943,5.80280256271362,0,238,36.75,2019-09-26 13:30:00,5.85035949464417,2019-09-26
"7096",2019-09-26 17:00:00,78.317527,81.916701,82.85567,87.04649,86.215266,84.833099,84.255773,85.194095,86.942363,87.844113,88.672542,87.116799,87.753558,87.049962,85.224259,83.034048,82.595302,80.359386,79.807211,78.319668,77.35152,76.552038,78.509784,73.884429,72.734496,72.415317,72.383207,72.318793,72.043802,70.811629,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
"7097",2019-09-26 18:00:00,78.522338,82.13181,82.951558,87.115732,86.642448,84.510557,85.75171,86.642225,89.353896,89.41474,89.299898,88.898927,87.428027,87.416974,85.276653,83.165146,83.180483,79.649464,79.992277,77.525913,76.885613,77.112084,78.49511,74.315963,73.101711,72.456627,72.352001,72.324462,72.023358,70.807814,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
"7098",2019-09-26 19:00:00,82.717313,88.080196,92.07722,93.883427,89.429666,86.923909,87.192351,88.862893,90.877022,90.687841,91.629771,90.757614,89.623655,88.719408,86.25368,84.00155,83.68279,79.676237,78.948967,77.623298,76.397738,76.333766,76.679563,73.991352,73.060531,72.892794,72.772468,72.695018,72.224226,70.983002,"mb01",2019,9,36.798,-121.976,"fall","fall-2019",1.20619630813599,5.84468746185303,0,238,36.75,2019-09-26 18:00:00,5.96785397446208,2019-09-26
