x, y
100.5631860837531, 25.482502651113467
119.0172074720404, 27.486744432661716
153.23778072388546, 29.49098621420997
200.64993546611532, 31.208907741251323
268.70038746389463, 32.92682926829268
380.6166696185894, 33.499469777306466
481.8666050152245, 33.499469777306466
709.9365115139577, 31.78154825026511
883.7744937517206, 31.208907741251323
1094.0178052563608, 29.49098621420997
1377.286815992514, 27.67762460233298
1773.2929513788167, 25.577942735949097
2401.528831274401, 22.714740190880168
3074.715081321835, 20.61505832449629
4211.048505276107, 17.94273594909862
4928.138751061444, 16.033934252386
6749.448574119237, 13.457051961823966
9295.926536353907, 10.212089077412513
11968.749582179447, 8.016967126193
15848.93192461114, 4.6765641569459175
19183.45507068307, 2.767762460233298
