"","Path","FileCount","SiteName","DeploymentName","Instrument","Start_Date","End_Date","Lat","Lon","Site","Days"
"1","gs://noaa-passive-bioacoustic/nrs/audio/01/nrs_01_2015-2017","1","01","2015-2017","AUH",2015-10-15,2017-10-17,"72.4430","-156.5517","nrs_01",733
"2","gs://noaa-passive-bioacoustic/nrs/audio/01/nrs_01_2018-2020","2","01","2020-2022","AUH",2020-09-15,2022-09-25,"72.454","-156.579","nrs_01",740
"3","gs://noaa-passive-bioacoustic/nrs/audio/01/nrs_01_2020-2022","3","01","2020-2022","AUH",2020-09-15,2022-09-25,"72.47","-156.5585","nrs_01",740
"4","gs://noaa-passive-bioacoustic/nrs/audio/02/nrs_02_2018-2020","1","02","2018-2020","AUH",2018-07-20,2020-07-30,"50.20075","-145.09797","nrs_02",741
"5","gs://noaa-passive-bioacoustic/nrs/audio/02/nrs_02_2020-2022","2","02","2020-2022","AUH",2020-08-13,2022-08-24,"50.2","-145.1","nrs_02",741
"6","gs://noaa-passive-bioacoustic/nrs/audio/03/nrs_03_2017-2019","1","03","2017-2019","AUH",2017-09-18,2019-05-03,"47.7668","-125.525","nrs_03",592
"7","gs://noaa-passive-bioacoustic/nrs/audio/03/nrs_03_2019-2020","2","03","2019-2020","AUH",2019-09-12,2020-09-14,"47.76606","-125.52509","nrs_03",368
"8","gs://noaa-passive-bioacoustic/nrs/audio/03/nrs_03_2020-2022","3","03","2020-2022","AUH",2020-07-31,2022-06-06,"47.7660","-125.5251","nrs_03",675
"9","gs://noaa-passive-bioacoustic/nrs/audio/04/nrs_04_2015-2016","1","04","2015-2016","AUH",2015-07-20,2016-12-23,"22.33","-157.667","nrs_04",522
"10","gs://noaa-passive-bioacoustic/nrs/audio/04/nrs_04_2017-2019","2","04","2017-2019","AUH",2017-07-14,2019-07-25,"22.33","-157.67","nrs_04",741
"11","gs://noaa-passive-bioacoustic/nrs/audio/04/nrs_04_2020-2021","3","04","2020-2021","AUH",2020-01-25,2021-09-08,"22.33","-157.67","nrs_04",592
"12","gs://noaa-passive-bioacoustic/nrs/audio/05/nrs_05_2015-2017","1","05","2015-2017","AUH",2015-11-12,2017-11-21,"33.9","-119.58","nrs_05",740
"13","gs://noaa-passive-bioacoustic/nrs/audio/05/nrs_05_2018-2020","2","05","2018-2020","AUH",2018-01-16,2020-01-17,"33.8979","-119.545","nrs_05",731
"14","gs://noaa-passive-bioacoustic/nrs/audio/05/nrs_05_2019-2021","3","05","2019-2021","AUH",2019-12-19,2021-12-29,"33.9","-119.58","nrs_05",741
"15","gs://noaa-passive-bioacoustic/nrs/audio/06/nrs_06_2016-2018","1","06","2016-2018","AUH",2016-04-02,2018-11-07,"28.2502","-86.8327","nrs_06",949
"16","gs://noaa-passive-bioacoustic/nrs/audio/06/nrs_06_2018-2020","2","06","2018-2020","AUH",2018-03-15,2020-03-28,"28.25","-86.83","nrs_06",744
"17","gs://noaa-passive-bioacoustic/nrs/audio/06/nrs_06_2020-2022","3","06","2020-2022","AUH",2020-08-14,2022-06-08,"28.24","-86.83","nrs_06",663
"18","gs://noaa-passive-bioacoustic/nrs/audio/07/nrs_07_2019-2021","1","07","2019-2021","AUH",2019-06-17,2021-06-27,"29.33","-78.02","nrs_07",741
"19","gs://noaa-passive-bioacoustic/nrs/audio/08/nrs_08_2016-2018","1","08","2016-2018","AUH",2016-04-01,2018-04-12,"39.0103","-67.2706","nrs_08",741
"20","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2016-2017","1","09","2016-2017","AUH",2016-11-08,2017-08-25,"42.4037","-70.12","nrs_09",290
"21","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2017-2018","2","09","2017-2018","AUH",2017-10-10,2018-06-06,"42.40319","-70.12649","nrs_09",239
"22","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2018-2019","3","09","2018-2019","AUH",2018-12-02,2020-01-17,"42.404","-70.1255","nrs_09",411
"23","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2019-2020","4","09","2019-2020","AUH",2019-11-12,2020-11-26,"42.404","-70.1255","nrs_09",380
"24","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2020-2021","5","09","2020-2021","AUH",2020-11-17,2021-11-04,"42.404","-70.1255","nrs_09",352
"25","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2021-2022","6","09","2021-2022","AUH",2021-09-07,2022-10-17,"42.404","-70.1255","nrs_09",405
"26","gs://noaa-passive-bioacoustic/nrs/audio/09/nrs_09_2022-2023","7","09","2022-2023","AUH",2022-09-26,2023-08-21,"42.404","-70.1255","nrs_09",329
"27","gs://noaa-passive-bioacoustic/nrs/audio/10/nrs_10_2015-2016","1","10","2015-2016","AUH",2015-06-15,2016-04-05,"-14.2686","-170.7196","nrs_10",295
"28","gs://noaa-passive-bioacoustic/nrs/audio/10/nrs_10_2016-2017","2","10","2016-2017","AUH",2016-07-15,2016-11-13,"-14.2686","-170.7196","nrs_10",121
